"Date","Price","Open","High","Low","Vol.","Change %"
"11-08-2026","24,668.00","24,781.00","24,781.00","24,650.00","1.32M","0.00%"
"10-08-2026","24,667.90","24,805.00","24,819.00","24,641.40","1.13M","0.05%"
"07-08-2026","24,655.00","24,672.00","24,707.00","24,601.00","1.63M","-0.34%"
"06-08-2026","24,739.40","24,687.00","24,758.30","24,672.30","2.05M","0.37%"
"05-08-2026","24,647.70","24,715.00","24,740.00","24,565.00","2.95M","0.38%"
"04-08-2026","24,555.60","24,684.80","24,697.00","24,500.00","4.11M","-0.38%"
"03-08-2026","24,649.40","24,601.50","24,689.20","24,580.50","3.19M","0.33%"
"31-07-2026","24,567.50","24,490.10","24,600.00","24,490.10","170.43K","0.38%"
"30-07-2026","24,474.30","24,385.00","24,510.00","24,376.40","140.21K","0.18%"
"29-07-2026","24,431.10","24,353.90","24,460.00","24,319.50","256.30K","1.38%"
"28-07-2026","24,098.80","24,100.00","24,150.00","24,050.00","5.27M","-0.01%"
"27-07-2026","24,101.80","23,999.00","24,120.00","23,965.20","3.41M","0.95%"
"24-07-2026","23,874.60","23,814.00","23,906.00","23,701.00","3.99M","-0.25%"
"23-07-2026","23,934.20","24,000.00","24,062.80","23,870.70","3.79M","-0.60%"
"22-07-2026","24,079.70","24,249.00","24,249.00","24,040.10","1.13M","-0.81%"
"21-07-2026","24,275.20","24,352.50","24,360.00","24,225.00","381.88K","-0.32%"
"20-07-2026","24,352.50","24,354.10","24,369.00","24,228.30","536.19K","-0.21%"
"17-07-2026","24,403.00","24,161.10","24,444.00","24,161.10","579.67K","0.88%"
"16-07-2026","24,190.60","24,200.00","24,300.00","24,150.00","287.82K","0.10%"
"15-07-2026","24,167.60","24,155.10","24,309.60","24,086.30","412.43K","0.20%"
"14-07-2026","24,120.00","24,185.10","24,245.10","24,098.70","431.47K","-0.86%"
"13-07-2026","24,330.10","24,151.00","24,375.00","24,125.00","373.30K","0.01%"
"10-07-2026","24,328.70","24,135.80","24,350.00","24,135.80","258.12K","0.99%"
"09-07-2026","24,090.80","24,000.10","24,273.90","24,000.00","324.22K","0.35%"
"08-07-2026","24,007.40","24,400.00","24,419.50","23,938.20","721.57K","-2.13%"
"07-07-2026","24,529.80","24,594.90","24,649.30","24,500.10","285.42K","-0.17%"
"06-07-2026","24,571.00","24,464.90","24,599.10","24,440.10","221.52K","0.51%"
"03-07-2026","24,445.20","24,475.00","24,539.30","24,430.00","295.49K","0.37%"
"02-07-2026","24,354.00","24,250.00","24,371.00","24,240.00","264.88K","0.66%"
"01-07-2026","24,195.30","24,133.00","24,230.00","24,100.00","191.43K","0.78%"
"30-06-2026","24,009.10","24,057.70","24,099.00","23,940.40","8.08M","-0.12%"
"29-06-2026","24,037.70","24,178.50","24,200.50","24,002.80","5.23M","-0.55%"
"25-06-2026","24,170.50","24,201.00","24,349.00","24,150.00","4.71M","0.19%"
"24-06-2026","24,125.20","23,910.00","24,188.00","23,895.00","3.88M","0.23%"
"23-06-2026","24,070.50","24,315.00","24,363.70","24,031.00","255.39K","-1.10%"
"22-06-2026","24,338.60","24,270.00","24,373.10","24,270.00","124.74K","0.32%"
"19-06-2026","24,261.70","24,250.00","24,285.00","24,170.00","258.31K","-0.50%"
"18-06-2026","24,382.40","24,290.00","24,400.00","24,240.70","162.96K","0.40%"
"17-06-2026","24,285.60","24,321.00","24,321.00","24,190.10","126.10K","0.38%"
"16-06-2026","24,194.20","24,209.90","24,209.90","24,114.60","87.30K","0.36%"
"15-06-2026","24,106.90","24,112.50","24,216.80","24,080.00","206.83K","0.98%"
"12-06-2026","23,873.50","23,600.10","23,900.00","23,531.00","193.25K","2.03%"
"11-06-2026","23,397.40","23,375.00","23,545.00","23,312.00","142.87K","-0.21%"
"10-06-2026","23,447.40","23,491.10","23,646.00","23,435.00","112.65K","-0.36%"
"09-06-2026","23,531.00","23,450.00","23,545.00","23,353.00","140.73K","0.64%"
"08-06-2026","23,382.20","23,420.00","23,540.00","23,361.40","187.79K","-1.12%"
"05-06-2026","23,647.90","23,722.00","23,775.00","23,555.00","115.05K","-0.20%"
"04-06-2026","23,695.90","23,560.10","23,730.00","23,526.10","96.66K","-0.06%"
"03-06-2026","23,709.20","23,849.90","23,849.90","23,411.00","249.02K","-0.39%"
"02-06-2026","23,801.40","23,642.20","23,830.00","23,500.00","151.32K","0.56%"
"01-06-2026","23,668.60","23,953.10","23,953.50","23,645.00","236.60K","-1.19%"
"29-05-2026","23,953.00","24,229.90","24,250.00","23,918.00","174.33K","-1.05%"
"27-05-2026","24,206.90","24,151.00","24,245.00","24,130.00","75.01K","0.59%"
"26-05-2026","24,064.70","24,180.00","24,226.00","24,039.00","443.76K","-0.60%"
"25-05-2026","24,210.00","24,070.90","24,255.00","24,070.90","325.65K","1.29%"
"22-05-2026","23,900.90","23,850.00","24,000.00","23,846.70","267.22K","0.36%"
"21-05-2026","23,814.70","23,985.00","24,008.90","23,742.40","175.70K","-0.13%"
"20-05-2026","23,846.20","23,649.90","23,875.40","23,570.00","137.67K","0.21%"
"19-05-2026","23,796.20","23,845.10","23,950.00","23,775.20","102.38K","-0.21%"
"18-05-2026","23,845.20","23,705.20","23,895.00","23,551.00","228.48K","0.02%"
"15-05-2026","23,840.20","23,963.00","24,035.00","23,795.00","143.65K","-0.29%"
"14-05-2026","23,908.40","23,750.00","23,985.00","23,654.00","186.81K","0.99%"
"13-05-2026","23,675.10","23,600.20","23,835.00","23,530.00","187.07K","0.08%"
"12-05-2026","23,657.00","24,064.90","24,064.90","23,625.00","265.40K","-1.86%"
"11-05-2026","24,106.30","24,300.00","24,300.10","24,087.90","234.72K","-1.51%"
"08-05-2026","24,477.10","24,532.10","24,535.60","24,403.50","139.62K","-0.58%"
"07-05-2026","24,620.30","24,750.00","24,770.00","24,565.00","128.64K","-0.26%"
"06-05-2026","24,683.80","24,471.00","24,700.00","24,310.00","182.59K","1.39%"
"05-05-2026","24,345.80","24,350.00","24,384.00","24,185.20","115.25K","-0.42%"
"04-05-2026","24,449.70","24,478.80","24,600.00","24,329.60","119.47K","0.45%"
"30-04-2026","24,340.00","24,405.80","24,405.80","24,113.90","230.62K","-0.77%"
"29-04-2026","24,528.40","24,425.60","24,708.00","24,404.10","107.25K","1.35%"
"28-04-2026","24,201.50","24,300.00","24,382.20","24,171.10","344.05K","-0.52%"
"27-04-2026","24,328.80","24,252.70","24,350.60","24,211.00","432.32K","0.73%"
"24-04-2026","24,151.50","24,415.80","24,483.00","24,081.00","469.69K","-1.06%"
"23-04-2026","24,410.60","24,555.00","24,555.00","24,391.10","283.99K","-0.99%"
"22-04-2026","24,653.60","24,729.20","24,800.00","24,605.00","249.28K","-0.75%"
"21-04-2026","24,840.10","24,639.90","24,850.00","24,639.80","322.14K","0.95%"
"20-04-2026","24,606.70","24,717.00","24,749.60","24,551.00","245.51K","-0.19%"
"17-04-2026","24,653.00","24,487.40","24,665.00","24,387.40","187.27K","0.68%"
