"Date","Price","Open","High","Low","Vol.","Change %"
"01-08-2026","24,677.00","24,601.50","24,781.00","24,500.00","16.30M","0.92%"
"01-07-2026","24,452.60","23,994.50","24,565.30","23,640.00","75.57M","2.46%"
"01-06-2026","23,865.75","23,740.00","24,279.90","23,105.00","95.36M","0.49%"
"01-05-2026","23,748.80","24,221.00","24,535.00","23,320.00","92.58M","-1.45%"
"01-04-2026","24,098.20","22,850.00","24,604.00","22,276.70","113.15M","7.46%"
"01-03-2026","22,426.20","25,200.00","25,312.60","22,381.00","50.73M","-12.39%"
"01-02-2026","25,598.20","25,745.00","26,610.70","24,979.80","4.78M","-0.59%"
"01-01-2026","25,749.00","26,635.00","26,825.00","25,283.50","5.32M","-3.26%"
"01-12-2025","26,617.10","26,750.00","26,794.90","26,115.00","3.21M","0.87%"
"01-11-2025","26,387.40","25,890.00","26,495.60","25,428.10","108.36M","1.86%"
"01-10-2025","25,905.50","24,751.80","26,284.90","24,725.00","123.48M","5.26%"
"01-09-2025","24,611.10","24,581.10","25,525.00","24,580.00","100.63M","0.17%"
"01-08-2025","24,568.50","24,800.00","25,179.00","24,409.00","102.67M","-0.81%"
"01-07-2025","24,768.35","25,636.00","25,695.10","24,625.10","106.32M","-3.30%"
"01-06-2025","25,614.20","24,799.00","25,792.40","24,575.30","132.87M","2.99%"
"01-05-2025","24,871.20","24,399.90","25,149.00","23,984.00","167.69M","1.85%"
"01-04-2025","24,418.40","23,530.00","24,567.90","21,860.00","152.17M","3.30%"
"01-03-2025","23,637.65","22,341.00","23,893.90","22,101.00","120.98M","6.09%"
"01-02-2025","22,280.05","23,584.00","23,853.80","22,233.35","140.72M","-5.67%"
"01-01-2025","23,620.20","23,500.00","24,314.00","22,809.00","140.46M","-0.78%"
"01-12-2024","23,805.85","24,300.00","24,930.00","23,575.00","124.53M","-2.70%"
"01-11-2024","24,465.40","24,540.00","24,811.50","23,433.45","34.83M","0.32%"
"01-10-2024","24,388.30","26,101.00","26,192.95","24,211.35","31.58M","-6.16%"
"01-09-2024","25,990.15","25,412.05","26,402.90","24,816.00","126.73M","2.42%"
"01-08-2024","25,376.90","25,060.05","25,399.00","23,912.50","137.43M","1.45%"
"01-07-2024","25,013.15","24,125.00","25,075.00","24,066.00","138.24M","3.65%"
"01-06-2024","24,132.25","23,501.65","24,240.00","21,265.00","189.75M","6.31%"
"01-05-2024","22,700.70","22,702.05","23,177.00","21,900.00","156.35M","-0.08%"
"01-04-2024","22,718.30","22,539.95","22,850.00","21,813.60","141.89M","1.75%"
"01-03-2024","22,326.90","22,203.00","22,619.90","21,798.05","133.07M","1.57%"
"01-02-2024","21,982.80","21,800.15","22,344.45","21,600.85","157.99M","0.80%"
"01-01-2024","21,808.60","21,849.80","22,149.90","21,141.00","167.10M","-0.35%"
"01-12-2023","21,885.95","20,292.90","21,939.90","20,292.90","134.50M","7.97%"
"01-11-2023","20,270.60","19,251.40","20,291.60","19,157.05","24.71M","5.81%"
"01-10-2023","19,158.20","19,650.00","19,884.00","18,840.55","109.93M","-2.79%"
"01-09-2023","19,709.00","19,409.50","20,270.00","19,377.00","110.56M","1.52%"
"01-08-2023","19,414.25","19,972.15","19,987.30","19,331.00","26.15M","-2.17%"
"01-07-2023","19,843.95","19,321.00","19,981.55","19,302.55","118.64M","3.03%"
"01-06-2023","19,261.25","18,624.95","19,273.15","18,550.00","112.26M","3.39%"
"01-05-2023","18,629.55","18,180.45","18,742.40","18,084.05","130.46M","2.86%"
"01-04-2023","18,111.15","17,470.00","18,128.50","17,383.85","112.76M","3.83%"
"01-03-2023","17,442.65","17,433.05","17,863.90","16,866.00","198.48M","0.23%"
"01-02-2023","17,403.40","17,925.00","18,150.00","17,345.00","167.89M","-2.22%"
"01-01-2023","17,798.65","18,209.00","18,333.90","17,522.25","186.94M","-2.24%"
"01-12-2022","18,206.85","18,957.70","18,998.85","17,831.20","180.52M","-3.54%"
"01-11-2022","18,874.50","18,161.10","18,905.05","18,008.00","145.38M","4.56%"
"01-10-2022","18,051.05","17,021.00","18,061.75","16,858.00","181.70M","5.54%"
"01-09-2022","17,103.20","17,552.00","18,123.35","16,764.25","229.68M","-4.06%"
"01-08-2022","17,827.50","17,262.20","18,004.70","17,178.00","190.39M","3.64%"
"01-07-2022","17,201.85","15,704.00","17,222.95","15,513.90","217.85M","9.01%"
"01-06-2022","15,780.25","16,550.00","16,790.00","15,202.30","265.16M","-4.81%"
"01-05-2022","16,577.60","16,925.00","17,137.75","15,733.00","269.36M","-3.25%"
"01-04-2022","17,135.25","17,453.00","18,173.80","16,843.30","207.33M","-1.89%"
"01-03-2022","17,464.75","16,595.00","17,555.80","15,676.35","256.71M","3.99%"
"01-02-2022","16,794.25","17,524.95","17,809.80","16,230.10","249.41M","-3.27%"
