Date,Close,Signal
2022-03-16,17008.75,Golden Cross
2022-04-15,17325.25,Death Cross
2022-05-30,16643.45,Golden Cross
2022-06-13,15766.25,Death Cross
2022-07-04,15836.95,Golden Cross
2022-08-26,17710.3,Death Cross
2022-09-09,17917.45,Golden Cross
2022-09-22,17707.75,Death Cross
2022-10-18,17502.0,Golden Cross
2022-12-16,18443.4,Death Cross
2023-01-23,18228.1,Golden Cross
2023-01-25,17985.9,Death Cross
2023-02-14,18042.7,Golden Cross
2023-02-23,17623.0,Death Cross
2023-04-04,17539.2,Golden Cross
2023-08-04,19688.5,Death Cross
2023-09-05,19748.9,Golden Cross
2023-09-26,19793.55,Death Cross
2023-10-16,19868.2,Golden Cross
2023-10-23,19381.35,Death Cross
2023-11-09,19588.65,Golden Cross
2024-01-23,21352.3,Death Cross
2024-02-02,22087.75,Golden Cross
2024-03-18,22298.25,Death Cross
2024-04-02,22719.3,Golden Cross
2024-04-19,22275.45,Death Cross
2024-04-29,22840.65,Golden Cross
2024-05-09,22189.4,Death Cross
2024-05-21,22705.4,Golden Cross
2024-08-07,24499.25,Death Cross
2024-08-21,24922.85,Golden Cross
2024-10-07,25126.85,Death Cross
2024-11-28,24115.25,Golden Cross
2024-12-20,23793.4,Death Cross
2025-02-03,23581.25,Golden Cross
2025-02-13,23242.2,Death Cross
2025-03-19,23123.45,Golden Cross
2025-04-07,22263.8,Death Cross
2025-04-21,24135.5,Golden Cross
2025-06-05,24861.4,Death Cross
2025-06-09,25181.8,Golden Cross
2025-06-18,24826.9,Death Cross
2025-06-20,25111.7,Golden Cross
2025-07-15,25265.6,Death Cross
2025-08-20,25083.3,Golden Cross
2025-08-29,24568.5,Death Cross
2025-09-05,24847.7,Golden Cross
2025-09-26,24689.9,Death Cross
2025-10-09,25273.8,Golden Cross
2025-11-10,25694.5,Death Cross
2025-11-14,25951.4,Golden Cross
2025-12-10,25863.9,Death Cross
2025-12-26,26060.2,Golden Cross
2026-01-12,25876.0,Death Cross
2026-02-06,25735.1,Golden Cross
2026-02-24,25424.65,Death Cross
2026-04-09,23861.3,Golden Cross
2026-05-12,23657.0,Death Cross
2026-06-17,24285.6,Golden Cross
2026-07-14,24120.0,Death Cross
2026-07-17,24403.0,Golden Cross
2026-07-23,23934.2,Death Cross
2026-07-31,24567.5,Golden Cross
